ts,size,n,m,p,totaltime
1718560496693,3,100,100,100,2689
1718560506733,3,100,100,100,2711
1718560516704,3,100,100,100,2910
1718560527606,3,100,100,100,2629
1718560537750,3,100,100,100,2631
1718560547891,3,100,100,100,2697
1718560557820,3,100,100,100,2672
1718560567662,3,100,100,100,2631
1718560578654,3,100,100,100,2670
1718560589350,3,100,100,100,3835
1718560600821,3,100,100,100,2701
1718560611884,3,100,100,100,2674
1718560622532,3,100,100,100,2668
1718560632777,3,100,100,100,2780
1718560642764,3,100,100,100,2628
1718560652744,3,100,100,100,2703
1718560663092,3,100,100,100,2690
1718560673228,3,100,100,100,2575
1718560683787,3,100,100,100,2615
1718560693901,3,100,100,100,2611
1718560704816,3,100,100,100,2718
1718560715009,3,100,100,100,2697
1718560725143,3,100,100,100,2733
1718560736122,3,100,100,100,2695
1718560746438,3,100,100,100,2761
1718560757602,3,100,100,100,2677
1718560767991,3,100,100,100,2751
1718560778998,3,100,100,100,2579
1718560788956,3,100,100,100,2668
1718560799164,3,100,100,100,2535
1718560809212,3,100,100,100,2662
1718560819141,3,100,100,100,2608
1718560830761,3,100,100,100,2745
1718560840980,3,100,100,100,2684
1718560851832,3,100,100,100,2813
1718560862247,3,100,100,100,2568
1718560872603,3,100,100,100,2628
1718560882924,3,100,100,100,2706
1718560894248,3,100,100,100,2648
1718560904739,3,100,100,100,2688
1718560915090,3,100,100,100,2709
1718560925844,3,100,100,100,2619
1718560937194,3,100,100,100,2676
1718560947559,3,100,100,100,2826
1718560958043,3,100,100,100,2742
1718560968442,3,100,100,100,2665
1718560978991,3,100,100,100,2631
1718560990132,3,100,100,100,2655
1718561001212,3,100,100,100,2825
1718561011876,3,100,100,100,2673
1718561022873,3,100,100,100,2608
1718561033054,3,100,100,100,2713
1718561043108,3,100,100,100,2530
1718561053233,3,100,100,100,2670
1718561063268,3,100,100,100,2720
1718561074414,3,100,100,100,2630
1718561084918,3,100,100,100,2597
1718561094909,3,100,100,100,2705
1718561105148,4,100,100,100,1975
1718561114892,4,100,100,100,1979
1718561124592,4,100,100,100,1956
1718561134060,4,100,100,100,1974
1718561143976,4,100,100,100,1972
1718561153652,4,100,100,100,1938
1718561163216,4,100,100,100,1976
1718561172832,4,100,100,100,1955
1718561182152,4,100,100,100,1941
1718561191572,4,100,100,100,1981
1718561202312,4,100,100,100,1952
1718561212568,4,100,100,100,1918
1718561222256,4,100,100,100,2029
1718561232164,4,100,100,100,2039
1718561242052,4,100,100,100,2030
1718561251680,4,100,100,100,2023
1718561261420,4,100,100,100,1932
1718561271052,4,100,100,100,1991
1718561282468,4,100,100,100,2014
1718561292544,4,100,100,100,2090
1718561302764,4,100,100,100,1932
1718561312400,4,100,100,100,1944
1718561322440,4,100,100,100,2012
1718561332400,4,100,100,100,2096
1718561342876,4,100,100,100,1906
1718561353868,4,100,100,100,1969
1718561364232,4,100,100,100,2019
1718561374468,4,100,100,100,1879
1718561386552,4,100,100,100,1954
1718561396780,4,100,100,100,1911
1718561406676,4,100,100,100,2007
1718561416128,4,100,100,100,2045
1718561425900,4,100,100,100,2064
1718561435936,4,100,100,100,1934
1718561446276,4,100,100,100,1921
1718561456208,4,100,100,100,2084
1718561466529,4,100,100,100,1971
1718561476817,4,100,100,100,1992
1718561487001,4,100,100,100,2007
1718561496836,4,100,100,100,1992
1718561507000,4,100,100,100,1921
1718561516808,4,100,100,100,2055
1718561526960,4,100,100,100,1937
1718561537032,4,100,100,100,1948
1718561547040,4,100,100,100,1991
1718561557072,4,100,100,100,2477
1718561568192,4,100,100,100,2001
1718561578264,4,100,100,100,2041
1718561588780,4,100,100,100,1972
1718561598680,4,100,100,100,1960
1718561608564,4,100,100,100,1930
1718561618392,4,100,100,100,1916
1718561628072,4,100,100,100,2003
1718561638984,4,100,100,100,1980
1718561649228,4,100,100,100,1919
1718561659912,4,100,100,100,1926
1718561671012,4,100,100,100,1955
1718561681241,4,100,100,100,1971
1718561691288,4,100,100,100,2345
1718561701928,4,100,100,100,2047
1718561712984,4,100,100,100,2036
1718561724532,4,100,100,100,1989
1718561735108,4,100,100,100,1979
1718561745556,4,100,100,100,1942
1718561755500,4,100,100,100,1972
1718561765784,4,100,100,100,2076
1718561775964,4,100,100,100,1966
1718561786172,4,100,100,100,2037
1718561796356,4,100,100,100,1993
1718561806704,4,100,100,100,2012
1718561817852,4,100,100,100,2016
1718561829120,4,100,100,100,1964
1718561839360,4,100,100,100,1961
1718561849456,4,100,100,100,1987
1718561859632,4,100,100,100,1916
1718561869360,4,100,100,100,1991
1718561879444,4,100,100,100,1960
1718561890648,4,100,100,100,2001
1718561901316,4,100,100,100,1927
1718561912332,4,100,100,100,2037
1718561923008,4,100,100,100,1998
1718561933272,4,100,100,100,1900
1718561943804,4,100,100,100,2037
1718561953948,4,100,100,100,1997
1718561965088,4,100,100,100,1994
1718561976040,4,100,100,100,1991
1718561986932,4,100,100,100,1924
1718561997144,4,100,100,100,2003
1718562008228,4,100,100,100,1961
1718562018888,4,100,100,100,2006
1718562029232,4,100,100,100,1926
1718562039620,4,100,100,100,2031
1718562051648,4,100,100,100,1953
1718562062184,4,100,100,100,2001
1718562072112,4,100,100,100,2016
1718562082312,4,100,100,100,1937
1718562093625,4,100,100,100,2005
1718562105808,4,100,100,100,2163
1718562116876,4,100,100,100,2093
1718562127328,4,100,100,100,2022
1718562138952,5,100,100,100,2114
1718562150072,5,100,100,100,2177
1718562161567,5,100,100,100,2322
1718562172341,5,100,100,100,2388
1718562182772,5,100,100,100,2181
1718562193056,5,100,100,100,2224
1718562203928,5,100,100,100,2183
1718562215392,5,100,100,100,2187
1718562226856,5,100,100,100,2272
1718562238284,5,100,100,100,2309
1718562249180,5,100,100,100,2220
1718562260760,5,100,100,100,2097
1718562271232,5,100,100,100,2107
1718562282024,5,100,100,100,2240
1718562293340,5,100,100,100,2123
1718562303916,5,100,100,100,2229
1718562314641,5,100,100,100,2183
1718562326220,5,100,100,100,2075
1718562337064,5,100,100,100,2241
1718562348724,5,100,100,100,2209
1718562360208,5,100,100,100,2172
1718562371112,5,100,100,100,2207
1718562382748,5,100,100,100,2243
1718562394812,5,100,100,100,2176
1718562405596,5,100,100,100,2335
1718562416640,5,100,100,100,2236
1718562427268,5,100,100,100,2305
1718562437980,5,100,100,100,2178
1718562449572,5,100,100,100,1934
1718562461192,5,100,100,100,2231
1718562472464,5,100,100,100,2193
1718562483488,5,100,100,100,2297
1718562494288,5,100,100,100,2271
1718562505252,5,100,100,100,2092
1718562515664,5,100,100,100,2199
1718562526112,5,100,100,100,2266
1718562537900,5,100,100,100,2173
1718562548604,5,100,100,100,2228
1718562559296,5,100,100,100,2187
1718562570284,5,100,100,100,2120
1718562580584,5,100,100,100,2228
1718562591424,5,100,100,100,2172
1718562601880,5,100,100,100,2211
1718562612324,5,100,100,100,2308
1718562623068,5,100,100,100,2245
1718562633864,5,100,100,100,2156
1718562644604,5,100,100,100,2297
1718562656484,5,100,100,100,2236
1718562668308,5,100,100,100,2216
1718562679176,5,100,100,100,2222
1718562689736,5,100,100,100,2127
1718562700328,5,100,100,100,2194
1718562711072,5,100,100,100,2239
1718562721820,5,100,100,100,2219
1718562732228,5,100,100,100,2205
1718562742808,5,100,100,100,2229
1718562754772,5,100,100,100,2179
